Population,Year,Individual,No. of. Inflo,L,R,MR
Tukdah,T22,1,7,4,8,0.333333333
Tukdah,T22,2,6,3,3,0.5
Tukdah,T22,3,4,4,7,0.363636364
Tukdah,T22,4,1,0,1,0
Tukdah,T22,5,1,3,3,0.5
Tukdah,T22,6,1,0,3,0
Tukdah,T22,7,5,3,2,0.6
Tukdah,T22,8,6,0,2,0
Tukdah,T22,9,3,3,5,0.375
Tukdah,T22,10,5,4,3,0.571428571
Tukdah,T22,11,1,6,4,0.6
Tukdah,T22,12,1,2,4,0.333333333
Tukdah,T22,13,1,2,3,0.4
Tukdah,T22,14,6,1,6,0.142857143
Tukdah,T22,15,4,1,2,0.333333333
Tukdah,T22,16,3,4,1,0.8
Tukdah,T22,17,2,3,1,0.75
Tukdah,T22,18,1,1,2,0.333333333
Tukdah,T22,19,4,8,7,0.533333333
Tukdah,T22,20,4,7,7,0.5
Tukdah,T22,21,3,2,2,0.5
Tukdah,T22,22,1,1,1,0.5
Tukdah,T22,23,5,3,2,0.6
Tukdah,T22,24,4,0,4,0
Tukdah,T22,25,1,0,2,0
Tukdah,T22,26,3,0,3,0
Tukdah,T22,27,3,0,1,0
Tukdah,T22,28,1,0,1,0
Tukdah,T22,29,3,2,2,0.5
Tukdah,T22,30,2,2,2,0.5
Tukdah,T22,31,1,1,0,1
Tukdah,T22,32,3,0,1,0
Tukdah,T22,33,1,1,0,1
Tukdah,T24,34,3,2,1,0.666666667
Tukdah,T24,35,2,1,1,0.5
Tukdah,T24,36,5,4,2,0.666666667
Tukdah,T24,37,3,1,5,0.166666667
Tukdah,T24,38,2,1,4,0.2
Tukdah,T24,39,3,2,6,0.25
Tukdah,T24,40,5,3,3,0.5
Tukdah,T24,41,2,5,6,0.454545455
Tukdah,T24,42,2,1,2,0.333333333
Tukdah,T24,43,3,5,3,0.625
Tukdah,T24,44,3,1,2,0.333333333
Tukdah,T24,45,3,8,4,0.666666667
Tukdah,T24,46,3,1,3,0.25
Tukdah,T24,47,1,1,1,0.5
Tukdah,T24,48,2,3,3,0.5
Tukdah,T24,49,5,4,4,0.5
Tukdah,T24,50,3,3,3,0.5
Tukdah,T24,51,3,4,4,0.5
Tukdah,T24,52,5,7,6,0.538461538
Tukdah,T24,53,6,6,2,0.75
Tukdah,T24,54,4,8,5,0.615384615
Tukdah,T24,55,5,12,10,0.545454545
Tukdah,T24,56,1,7,2,0.777777778
Tukdah,T24,57,1,2,1,0.666666667
Tukdah,T24,58,1,1,0,1
Tukdah,T24,59,6,3,1,0.75
Tukdah,T24,60,4,9,6,0.6
Tukdah,T24,61,2,2,2,0.5
Tukdah,T24,62,2,2,1,0.666666667
Tukdah,T24,63,3,4,3,0.571428571
Gangtok,G24,64,1,1,1,0.5
Gangtok,G24,65,4,2,0,1
Gangtok,G24,66,2,1,1,0.5
Gangtok,G24,67,7,2,2,0.5
Gangtok,G24,68,1,1,1,0.5
Gangtok,G24,69,1,3,5,0.375
Gangtok,G24,70,3,2,4,0.333333333
Gangtok,G24,71,3,2,4,0.333333333
Gangtok,G24,72,1,1,1,0.5
Gangtok,G24,73,1,2,1,0.666666667
Gangtok,G24,74,1,0,2,0
Gangtok,G24,75,9,8,6,0.571428571
Gangtok,G24,76,4,3,6,0.333333333
Gangtok,G24,77,1,2,1,0.666666667
Gangtok,G24,78,1,2,1,0.666666667
Gangtok,G24,79,3,4,1,0.8
Gangtok,G24,80,3,2,0,1
Gangtok,G24,81,2,1,4,0.2
Gangtok,G24,82,1,2,3,0.4
Gangtok,G24,83,1,4,4,0.5
Gangtok,G24,84,1,1,1,0.5
Gangtok,G24,85,2,2,3,0.4
Gangtok,G24,86,1,1,0,1
Gangtok,G24,87,2,8,5,0.615384615
Gangtok,G24,88,1,1,1,0.5
Gangtok,G24,89,1,2,2,0.5
Gangtok,G24,90,2,3,4,0.428571429
Gangtok,G24,91,1,1,1,0.5
Gangtok,G24,92,3,3,0,1
Gangtok,G24,93,1,0,2,0
Takdah,T25,94,5,8,7,0.533333333
Takdah,T25,95,4,4,3,0.571428571
Takdah,T25,96,4,2,6,0.25
Takdah,T25,97,4,11,10,0.523809524
Takdah,T25,98,1,3,1,0.75
Takdah,T25,99,2,4,1,0.8
Takdah,T25,100,6,3,6,0.333333333
Takdah,T25,101,7,10,11,0.476190476
Takdah,T25,102,1,0,3,0
Takdah,T25,103,4,7,7,0.5
Takdah,T25,104,6,1,4,0.2
Takdah,T25,105,1,2,3,0.4
Takdah,T25,106,3,4,2,0.666666667
Takdah,T25,107,1,2,0,1
Takdah,T25,108,3,4,1,0.8
Takdah,T25,109,4,3,1,0.75
Takdah,T25,110,2,3,5,0.375
Takdah,T25,111,6,13,7,0.65
Takdah,T25,112,3,9,8,0.529411765
Takdah,T25,113,9,2,5,0.285714286
Takdah,T25,114,6,2,6,0.25
Takdah,T25,115,5,7,4,0.636363636
Takdah,T25,116,1,5,1,0.833333333
Takdah,T25,117,5,4,5,0.444444444
Takdah,T25,118,1,1,3,0.25
Takdah,T25,119,4,4,6,0.4
Takdah,T25,120,1,3,1,0.75
Takdah,T25,121,1,0,2,0
Takdah,T25,122,1,4,1,0.8
Takdah,T25,123,1,0,2,0
Gangtok,G25,124,2,1,3,0.25
Gangtok,G25,125,4,5,3,0.625
Gangtok,G25,126,2,4,1,0.8
Gangtok,G25,127,2,2,1,0.666666667
Gangtok,G25,128,2,2,1,0.666666667
Gangtok,G25,129,4,7,4,0.636363636
Gangtok,G25,130,2,7,4,0.636363636
Gangtok,G25,131,1,1,2,0.333333333
Gangtok,G25,132,5,10,6,0.625
Gangtok,G25,133,1,3,2,0.6
Gangtok,G25,134,2,1,3,0.25
Gangtok,G25,135,2,0,4,0
Gangtok,G25,136,4,2,0,1
Gangtok,G25,137,1,0,2,0
Gangtok,G25,138,2,6,7,0.461538462
Gangtok,G25,139,2,3,8,0.272727273
Gangtok,G25,140,7,20,9,0.689655172
Gangtok,G25,141,2,2,3,0.4
Gangtok,G25,142,7,15,11,0.576923077
Gangtok,G25,143,4,2,2,0.5
Gangtok,G25,144,1,3,0,1
Gangtok,G25,145,3,0,2,0
Gangtok,G25,146,2,1,4,0.25
Gangtok,G25,147,1,0,2,0
Gangtok,G25,148,1,2,0,1
Gangtok,G25,149,3,1,1,0.5
Gangtok,G25,150,2,1,1,0.5
Gangtok,G25,151,1,0,1,0
Gangtok,G25,152,3,6,9,0.4
Gangtok,G25,153,2,1,1,0.5
