Population,Plant_ID,Inter_switches,Intra_switches,Prop_switches,L,R,MB
T22,1,2,0,1,2,6,0.666666667
T22,2,3,2,0.6,7,6,0.142857143
T22,3,1,2,0.333333333,2,2,0
T22,4,3,1,0.75,3,7,0.571428571
T22,5,0,2,0,5,1,0.8
T22,5,0,1,0,5,1,0.8
T22,6,0,1,0,3,0,1
T22,7,1,2,0.333333333,3,1,0.666666667
T22,7,1,1,0.5,3,1,0.666666667
T22,8,4,5,0.444444444,9,4,0.555555556
T22,9,3,0,1,2,3,0.333333333
T22,9,2,3,0.4,2,3,0.333333333
T22,10,0,1,0,3,0,1
T22,11,1,1,0.5,1,2,0.5
T22,12,0,1,0,2,0,1
T22,13,2,2,0.5,10,5,0.5
T22,13,1,3,0.25,10,5,0.5
T22,13,1,1,0.5,10,5,0.5
T22,13,1,4,0.2,10,5,0.5
G24,13,1,1,0.5,2,1,0.5
G24,14,0,1,0,3,8,0.625
G24,14,2,2,0.5,3,8,0.625
G24,15,1,0,1,5,5,0
G24,16,1,0,1,8,10,0.2
G24,16,3,3,0.5,8,10,0.2
G24,17,1,3,0.25,11,6,0.454545455
G24,18,3,1,0.75,4,3,0.25
G24,18,0,1,0,4,3,0.25
G24,19,2,3,0.4,1,5,0.8
G24,20,1,1,0.5,2,1,0.5
G24,20,1,1,0.5,1,2,0.5
G24,21,0,1,0,7,3,0.571428571
G24,21,2,0,1,7,3,0.571428571
G24,21,2,3,0.4,7,3,0.571428571
G24,21,3,2,0.6,7,3,0.571428571
G24,22,0,1,0,1,3,0.666666667
G24,22,0,1,0,1,3,0.666666667
G24,23,1,0,1,1,1,0
G24,23,1,0,1,2,2,0
G24,23,1,0,1,1,1,0
G24,24,0,2,0,1,5,0.8
T25,25,3,3,0.5,3,5,0.4
T25,25,1,0,1,3,5,0.4
T25,26,3,2,0.6,3,4,0.25
T25,26,0,1,0,3,4,0.25
T25,27,0,1,0,2,6,0.666666667
T25,28,1,1,0.5,5,5,0
T25,28,3,1,0.75,5,5,0
T25,29,1,1,0.5,2,3,0.333333333
T25,30,2,3,0.4,5,3,0.4
T25,31,1,0,1,3,2,0.333333333
T25,32,0,2,0,9,3,0.666666667
T25,32,1,4,0.2,9,3,0.666666667
T25,33,1,1,0.5,2,4,0.5
T25,34,1,0,1,4,4,0
T25,35,8,1,0.888888889,13,13,0
G25,36,2,1,0.666666667,11,9,0.181818182
G25,36,0,1,0,11,9,0.181818182
G25,36,1,2,0.333333333,11,9,0.181818182
G25,36,0,1,0,11,9,0.181818182
G25,36,0,1,0,11,9,0.181818182
G25,36,2,2,0.5,11,9,0.181818182
G25,36,1,1,0.5,11,9,0.181818182
G25,36,1,2,0.333333333,11,9,0.181818182
G25,37,1,3,0.25,5,3,0.4
G25,37,1,1,0.5,5,3,0.4
G25,38,1,2,0.333333333,3,5,0.4
G25,38,1,2,0.333333333,3,5,0.4
G25,38,1,2,0.333333333,3,5,0.4
G25,39,0,1,0,19,9,0.526315789
G25,39,0,2,0,19,9,0.526315789
G25,39,1,4,0.2,19,9,0.526315789
G25,40,1,2,0.333333333,1,3,0.666666667
G25,40,1,1,0.5,1,3,0.666666667
G25,41,1,1,0.5,5,3,0.4
G25,42,6,3,0.666666667,6,7,0.142857143
